# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       4.821366592777e-10       1.441737872596e-13      -5.321792784832e-12       7.208470444102e-16       5.437740132255e-12       8.888226787056e-13      -5.445888219273e-15 
  130       4.866624554203e-10       1.448419757018e-13      -5.380673955551e-12       7.326429224075e-16       5.321839323005e-12       8.739090722526e-13      -5.366402144501e-15 
  131       4.911884298761e-10       1.454475337516e-13      -5.437513687015e-12       7.445578731210e-16       5.208899500230e-12       8.593385358969e-13      -5.289323046226e-15 
  132       4.957137083214e-10       1.459899437308e-13      -5.492247718769e-12       7.565928713654e-16       5.098918855660e-12       8.451104420289e-13      -5.214533407429e-15 
  133       5.002373568342e-10       1.464687558502e-13      -5.544812458153e-12       7.687489085913e-16       4.991882107205e-12       8.312224060717e-13      -5.141897929736e-15 
  134       5.047583803375e-10       1.468835898989e-13      -5.595145018280e-12       7.810269930155e-16       4.887760135161e-12       8.176702388466e-13      -5.071263110465e-15 
  135       5.092757210433e-10       1.472341369319e-13      -5.643183256014e-12       7.934281497501e-16       4.786509618426e-12       8.044478989381e-13      -5.002456819674e-15 
  136       5.137882568963e-10       1.475201609589e-13      -5.688865809952e-12       8.059534209324e-16       4.688072670707e-12       7.915474450591e-13      -4.935287877208e-15 
  137       5.182948000176e-10       1.477415006327e-13      -5.732132138392e-12       8.186038658549e-16       4.592376476733e-12       7.789589884164e-13      -4.869545629744e-15 
  138       5.227940951485e-10       1.478980709376e-13      -5.772922557323e-12       8.313805610947e-16       4.499332928468e-12       7.666706450751e-13      -4.804999527841e-15 
  139       5.272848180944e-10       1.479898648779e-13      -5.811178278392e-12       8.442846006432e-16       4.408838261323e-12       7.546684883244e-13      -4.741398702987e-15 
  140       5.317655741681e-10       1.480169551660e-13      -5.846841446890e-12       8.573170960362e-16       4.320772690362e-12       7.429365010426e-13      -4.678471544643e-15 
  141       5.362348966340e-10       1.479794959111e-13      -5.879855179722e-12       8.704791764830e-16       4.235000046519e-12       7.314565280622e-13      -4.615925277295e-15 
  142       5.406912451518e-10       1.478777243077e-13      -5.910163603392e-12       8.837719889968e-16       4.151367412808e-12       7.202082285349e-13      -4.553445537495e-15 
  143       5.451330042197e-10       1.477119623237e-13      -5.937711891976e-12       8.971966985238e-16       4.069704760534e-12       7.091690282971e-13      -4.490695950914e-15 
  144       5.495586131006e-10       1.474826275408e-13      -5.962446627659e-12       9.107543707970e-16       3.989860599599e-12       6.983190090589e-13      -4.427387885636e-15 
  145       5.539669733181e-10       1.471902633160e-13      -5.984316842213e-12       9.244456076068e-16       3.911813658564e-12       6.876562197781e-13      -4.363498355310e-15 
  146       5.583570785627e-10       1.468355148167e-13      -6.003273150866e-12       9.382708756519e-16       3.835571574461e-12       6.771827912583e-13      -4.299072894325e-15 
  147       5.627278860238e-10       1.464191218620e-13      -6.019267478444e-12       9.522306200474e-16       3.761135711921e-12       6.669001157780e-13      -4.234157291095e-15 
  148       5.670783155890e-10       1.459419206636e-13      -6.032253099203e-12       9.663252637810e-16       3.688501006372e-12       6.568088278280e-13      -4.168797568417e-15 
  149       5.714072490438e-10       1.454048455665e-13      -6.042184676661e-12       9.805552071677e-16       3.617655807220e-12       6.469087848495e-13      -4.103039963830e-15 
  150       5.757135292707e-10       1.448089307903e-13      -6.049018303428e-12       9.949208273064e-16       3.548581721044e-12       6.371990479713e-13      -4.036930909976e-15 
